step, train_loss_step, train_metric_step
1,5.846922397613525,0.024247201159596443
2,5.743779182434082,-0.4926120638847351
3,5.22413969039917,-0.11689163744449615
4,5.136159896850586,-0.05468092858791351
5,5.146536350250244,-0.5862824320793152
6,5.343870162963867,0.07953035831451416
7,5.0373640060424805,0.5636156797409058
8,5.20693826675415,-0.61189866065979
9,5.306849956512451,0.09722861647605896
10,5.114920616149902,0.4997650682926178
11,5.097641468048096,0.5868051052093506
12,4.980818271636963,0.6477891802787781
13,4.958498954772949,0.7017124891281128
14,5.165830612182617,0.43877291679382324
15,4.738298416137695,0.6760953068733215
16,4.892383098602295,0.9407107830047607
17,4.726907253265381,1.3924425840377808
18,4.670522212982178,1.610307216644287
19,4.891221046447754,1.26438307762146
20,4.8595404624938965,1.2748548984527588
21,5.041266918182373,1.1589008569717407
22,4.529254913330078,1.6050450801849365
23,4.391170978546143,1.1882736682891846
24,4.8173112869262695,1.4300522804260254
25,4.774900436401367,1.8028725385665894
26,4.507895469665527,1.5461006164550781
27,4.4227447509765625,1.9551823139190674
28,4.572220325469971,1.6963298320770264
29,4.523301124572754,2.2425055503845215
30,4.288519859313965,2.3450779914855957
31,4.326478958129883,1.7399195432662964
32,4.3944268226623535,2.125657320022583
33,4.3442230224609375,2.081395149230957
34,4.685099124908447,2.0695080757141113
35,4.293375492095947,2.1058852672576904
36,4.15947961807251,2.2324001789093018
37,4.183040618896484,2.5948104858398438
38,4.41544771194458,2.2202887535095215
39,4.246355056762695,2.5799293518066406
40,3.9473190307617188,2.8333330154418945
41,3.9753806591033936,2.3772144317626953
42,4.167383670806885,2.875235080718994
43,3.9964759349823,2.918473958969116
44,4.119729518890381,2.696333646774292
45,3.861389636993408,2.706486463546753
46,4.073670864105225,3.1397130489349365
47,3.959324836730957,2.909203052520752
48,3.8749217987060547,2.6638872623443604
49,4.015128135681152,2.6636135578155518
50,4.080526351928711,2.806776285171509
51,3.8440637588500977,3.0285706520080566
52,3.753997564315796,3.1485254764556885
53,3.7758357524871826,3.129910469055176
54,3.793663501739502,3.292436122894287
55,3.773956775665283,3.207216739654541
56,3.8186442852020264,3.2207095623016357
57,3.8936808109283447,2.9415793418884277
58,3.802102565765381,3.23793888092041
59,3.809624195098877,2.7368979454040527
60,3.527477741241455,3.628058910369873
61,3.8057239055633545,3.35038161277771
62,3.763444662094116,3.4206340312957764
63,3.6865651607513428,3.6986398696899414
64,3.658773899078369,3.5160486698150635
65,3.8868391513824463,3.4812421798706055
66,3.439858913421631,3.774446964263916
67,3.620767116546631,3.575500965118408
68,3.456083059310913,3.430849075317383
69,3.3890111446380615,3.859107255935669
70,3.507611036300659,3.7914395332336426
71,3.4862306118011475,3.6354856491088867
72,3.5220601558685303,3.8190805912017822
73,3.558591842651367,3.332838296890259
74,3.4247307777404785,3.775681257247925
75,3.3235340118408203,3.874630928039551
76,3.3243167400360107,3.7884154319763184
77,3.5995254516601562,3.9221251010894775
78,3.4209911823272705,3.7544994354248047
79,3.3470771312713623,4.091926574707031
80,3.205890655517578,3.9062604904174805
