epchs, train_loss, train_metric, valid_loss, valid_metric
1,3.9629053554019413,2.8555777072906494,3.1672930934212427,4.9475250244140625
2,2.7648144262331025,5.719542026519775,2.580800923434171,6.458341598510742
3,2.3925462327561937,6.486256122589111,2.328304572538896,7.364031791687012
4,2.178812459782437,7.223942756652832,2.131253491748463,8.43674087524414
5,2.055579125344216,8.00191879272461,2.05448719588193,8.566475868225098
6,1.9864949138314874,8.395232200622559,2.0060735940933228,9.045797348022461
7,1.9470431009928386,8.695737838745117,1.9567810188640247,9.110626220703125
8,1.9067651505942818,8.88160514831543,1.9409251863306218,9.215145111083984
9,1.8725679382547602,9.12159538269043,1.9453366886485706,9.522927284240723
10,1.8790491443496566,9.177260398864746,1.9059828953309492,9.50640869140625
11,1.8511358950589154,9.390945434570312,1.8819555694406682,9.51797103881836
12,1.8284153455012553,9.463103294372559,1.8796025514602661,10.016618728637695
13,1.8214820279731407,9.552336692810059,1.8794708251953125,10.169379234313965
14,1.8170302225662782,9.612686157226562,1.8712342652407559,10.112415313720703
15,1.8036626480721138,9.687299728393555,1.8775766546075994,10.154141426086426
16,1.7911812077771436,9.722921371459961,1.8022686134685169,10.391205787658691
17,1.7855824436153378,9.854104042053223,1.818641034039584,10.207318305969238
18,1.7753185237850155,9.921226501464844,1.8588529391722246,10.1559476852417
19,1.7834928723068926,9.887471199035645,1.837249289859425,10.441933631896973
20,1.7648266543139208,9.948080062866211,1.8175005045804111,10.405417442321777
21,1.7523211058195647,9.990516662597656,1.8006212494590066,10.64220905303955
22,1.7578667509663213,10.011465072631836,1.789409334009344,10.544930458068848
23,1.7477521123112858,10.013569831848145,1.8318826935508035,10.624113082885742
24,1.7421618571152557,10.102953910827637,1.7805070768703113,10.4347562789917
25,1.7356781701783877,10.146636962890625,1.7673051140525124,10.519110679626465
26,1.7367728594187144,10.139435768127441,1.779685302214189,10.716983795166016
27,1.7361583043863107,10.207199096679688,1.8070129372856834,10.508739471435547
28,1.7427928941743869,10.145170211791992,1.8119098598306829,10.291521072387695
29,1.7282639323054134,10.23534870147705,1.7956766215237705,10.234172821044922
30,1.718552040624189,10.306451797485352,1.7482713786038486,11.010238647460938
31,1.7308403844231959,10.209817886352539,1.7797334410927512,10.736135482788086
32,1.7239556419956792,10.325638771057129,1.7697825215079568,10.566055297851562
33,1.72643231486415,10.277892112731934,1.7445731163024902,10.454139709472656
