epchs, train_loss, train_metric, valid_loss, valid_metric
1,2.8562062150567735,5.427407264709473,2.217012988358009,7.458095550537109
2,2.126328940343375,8.015942573547363,2.085010604160588,9.016897201538086
3,2.015074510900795,8.866047859191895,1.9797619392232197,9.620002746582031
4,1.963736613190134,9.270174980163574,1.8981459271617052,9.85030460357666
5,1.9207215739955539,9.543268203735352,1.9041012845388272,9.979105949401855
6,1.89536114868224,9.737443923950195,1.8850665281458598,10.357776641845703
7,1.8712177467934878,9.891840934753418,1.8655702689798868,10.188119888305664
8,1.8516104233385338,10.070106506347656,1.8128434666773168,10.519786834716797
9,1.8435056166750547,10.158246994018555,1.824441060787294,10.714831352233887
10,1.8244872742095246,10.288561820983887,1.8233316395340897,10.712444305419922
11,1.8077072915270942,10.309090614318848,1.8073717850010569,10.66065788269043
12,1.8116015031281545,10.417767524719238,1.8356631994247437,10.982108116149902
13,1.7928765134511706,10.522537231445312,1.7978167868242032,11.034470558166504
14,1.787089886488738,10.590184211730957,1.804258529732867,10.816061973571777
15,1.777397660026379,10.630163192749023,1.7629764094585325,10.963335037231445
16,1.7595194677177368,10.70421028137207,1.7946219080831947,10.87746524810791
17,1.761226795070233,10.733516693115234,1.7937184354154074,10.676480293273926
18,1.7607828711821174,10.756433486938477,1.7379463867443363,10.957965850830078
19,1.743399364779694,10.832250595092773,1.7464965785421975,11.142439842224121
20,1.7506905630916592,10.85938835144043,1.7436525138413035,11.178020477294922
21,1.741933523605167,10.897830963134766,1.7378604862748124,11.275666236877441
22,1.7368280511646292,10.969048500061035,1.7817004759137223,11.19907283782959
23,1.7364028150385076,10.997989654541016,1.7600618193789226,11.13196849822998
24,1.7257792596463803,11.04753589630127,1.7618134247093666,11.208600044250488
25,1.7212244761913313,11.116841316223145,1.7172370138691693,11.420360565185547
26,1.716706123148686,11.09221363067627,1.6989602882687638,11.578911781311035
27,1.7194927661908597,11.145265579223633,1.7315328411939668,11.555317878723145
28,1.7161311609576446,11.13233470916748,1.7359304835156697,11.442061424255371
29,1.7108014569138035,11.17873764038086,1.709925173259363,11.334772109985352
30,1.7129895311145804,11.227413177490234,1.706047550934117,11.455204010009766
31,1.7127798141453805,11.211770057678223,1.7227708094003724,11.260231018066406
32,1.698584272671495,11.266029357910156,1.7064655306862622,11.466534614562988
33,1.6969141451731808,11.24747371673584,1.7168665906278098,11.51078987121582
34,1.6991227774240085,11.318948745727539,1.6981906789105112,11.516477584838867
35,1.6952376029841962,11.326653480529785,1.6832393233369036,11.623824119567871
36,1.6912809547484255,11.352426528930664,1.7347818991033042,11.441839218139648
37,1.7022555594224855,11.342581748962402,1.7341243682838068,11.428268432617188
38,1.6942121975884827,11.328808784484863,1.6949186615827607,11.691899299621582
39,1.6902743655556915,11.39126205444336,1.7008070204316117,11.618695259094238
40,1.6907708073572143,11.388181686401367,1.7055855000891336,11.67596435546875
41,1.6867430048224368,11.362115859985352,1.6797129642672655,11.660268783569336
42,1.6970940956764349,11.363362312316895,1.7319340953012792,11.526124954223633
43,1.6922682000597986,11.409209251403809,1.6853288964527409,11.590911865234375
